num,issn,score,name
1,0007-9235,292.278,CA-A CANCER JOURNAL FOR CLINICIANS
2,0028-4793,74.699,NEW ENGLAND JOURNAL OF MEDICINE
3,0000-0000,71.189,Nature Reviews Materials
4,1474-1776,64.797,NATURE REVIEWS DRUG DISCOVERY
5,0000-0000,60.392,LANCET
6,0000-0000,59.000,WHO Technical Report Series
7,1471-0072,55.470,NATURE REVIEWS MOLECULAR CELL BIOLOGY
8,1759-4774,53.276,Nature Reviews Clinical Oncology
9,1474-175X,53.030,NATURE REVIEWS CANCER
10,0009-2665,52.758,CHEMICAL REVIEWS
11,0000-0000,46.495,Nature Energy
12,0000-0000,45.540,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
13,0034-6861,45.037,REVIEWS OF MODERN PHYSICS
14,0306-0012,42.846,CHEMICAL SOCIETY REVIEWS
15,0028-0836,42.778,NATURE
16,0036-8075,41.845,SCIENCE
17,0000-0000,40.689,Nature Reviews Disease Primers
18,1723-8617,40.595,World Psychiatry
19,1723-8617,40.595,World Psychiatry
20,1474-1733,40.358,NATURE REVIEWS IMMUNOLOGY
21,1476-1122,38.663,NATURE MATERIALS
22,0092-8674,38.637,CELL
23,1087-0156,36.558,NATURE BIOTECHNOLOGY
24,1078-8956,36.130,NATURE MEDICINE
25,1433-8351,35.429,Living Reviews in Relativity
26,0000-0000,34.953,Nature Reviews Chemistry
27,1740-1526,34.209,NATURE REVIEWS MICROBIOLOGY
28,0000-0000,33.752,LANCET ONCOLOGY
29,1471-003X,33.654,NATURE REVIEWS NEUROSCIENCE
30,1471-0056,33.133,NATURE REVIEWS GENETICS
31,0066-4146,32.963,Annual Review of Astronomy and Astrophysics
32,0732-183X,32.956,JOURNAL OF CLINICAL ONCOLOGY
33,0079-6425,31.560,PROGRESS IN MATERIALS SCIENCE
34,1748-3387,31.538,Nature Nanotechnology
35,1749-4885,31.241,Nature Photonics
36,1548-7091,30.822,NATURE METHODS
37,0000-0000,30.471,Nature Catalysis
38,0000-0000,30.289,Energy & Environmental Science
39,0000-0000,30.223,BMJ-British Medical Journal
40,0000-0000,30.039,LANCET NEUROLOGY
41,0000-0000,29.848,Nature Reviews Gastroenterology & Hepatology
42,2159-8274,29.497,Cancer Discovery
43,0360-1285,28.938,PROGRESS IN ENERGY AND COMBUSTION SCIENCE
44,1759-5029,28.800,Nature Reviews Endocrinology
45,1061-4036,27.603,NATURE GENETICS
46,0000-0000,27.500,Nature Electronics
47,0935-9648,27.398,ADVANCED MATERIALS
48,0000-0000,27.054,Joule
49,1759-4758,27.000,Nature Reviews Neurology
50,0000-0000,26.625,MATERIALS SCIENCE & ENGINEERING R-REPORTS
51,1535-6108,26.602,CANCER CELL
52,1369-7021,26.416,Materials Today
53,0000-0000,25.798,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS
54,0066-4154,25.787,Annual Review of Biochemistry
55,0031-9333,25.588,PHYSIOLOGICAL REVIEWS
56,0000-0000,25.340,Lancet Diabetes & Endocrinology
57,1614-6832,25.245,Advanced Energy Materials
58,0000-0000,25.094,Lancet Respiratory Medicine
59,2374-2437,24.799,JAMA Oncology
60,0000-0000,24.446,LANCET INFECTIOUS DISEASES
61,1553-877X,23.700,IEEE Communications Surveys and Tutorials
62,0009-7322,23.603,CIRCULATION
63,0195-668X,22.673,EUROPEAN HEART JOURNAL
64,0079-6700,22.620,PROGRESS IN POLYMER SCIENCE
65,0893-8512,22.556,CLINICAL MICROBIOLOGY REVIEWS
66,1074-7613,22.553,IMMUNITY
67,1755-4330,21.687,Nature Chemistry
68,0000-0000,21.597,Lancet Global Health
69,0000-0000,21.597,Lancet Global Health
70,1550-4131,21.567,Cell Metabolism
71,8755-1209,21.449,REVIEWS OF GEOPHYSICS
72,0003-4819,21.317,ANNALS OF INTERNAL MEDICINE
73,1758-678X,20.893,Nature Climate Change
74,1758-678X,20.893,Nature Climate Change
75,1934-5909,20.860,Cell Stem Cell
76,0033-2909,20.850,PSYCHOLOGICAL BULLETIN
77,0033-2909,20.850,PSYCHOLOGICAL BULLETIN
78,0001-4842,20.832,ACCOUNTS OF CHEMICAL RESEARCH
79,1759-5061,20.711,Nature Reviews Nephrology
80,0735-1097,20.589,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
