Number,Total Cites,name,score
1,"55,868",CA-A CANCER JOURNAL FOR CLINICIANS,508.702
2,"58,477",NATURE REVIEWS MOLECULAR CELL BIOLOGY,94.444
3,"464,351",NEW ENGLAND JOURNAL OF MEDICINE,91.245
4,"41,989",NATURE REVIEWS DRUG DISCOVERY,84.694
5,"369,601",LANCET,79.321
6,"17,973",Nature Reviews Clinical Oncology,66.675
7,"19,887",Nature Reviews Materials,66.308
8,"28,166",Nature Energy,60.858
9,"62,391",NATURE REVIEWS CANCER,60.716
10,"43,313",NATURE REVIEWS MICROBIOLOGY,60.633
11,"224,417",CHEMICAL REVIEWS,60.622
12,"3,806",MMWR Surveillance Summaries,58.769
13,"224,147","JAMA-JOURNAL OF THE AMERICAN MEDICAL
ASSOCIATION",56.272
14,"3,288",MMWR Recommendations and Reports,55.857
15,"78,786",NATURE BIOTECHNOLOGY,54.908
16,"173,170",CHEMICAL SOCIETY REVIEWS,54.564
17,"58,097",REVIEWS OF MODERN PHYSICS,54.494
18,"114,401",NATURE MEDICINE,53.440
19,"42,803",NATURE REVIEWS GENETICS,53.242
20,"55,784",NATURE REVIEWS IMMUNOLOGY,53.106
21,"14,221",Nature Reviews Disease Primers,52.329
22,"915,925",NATURE,49.962
23,"9,619",World Psychiatry,49.548
23,"9,619",World Psychiatry,49.548
25,"814,971",SCIENCE,47.728
26,"15,358",Nature Reviews Gastroenterology & Hepatology,46.802
27,"189,443",JOURNAL OF CLINICAL ONCOLOGY,44.544
28,"43,457",LANCET NEUROLOGY,44.182
29,"112,429",NATURE MATERIALS,43.841
30,"15,040",Nature Reviews Endocrinology,43.330
31,"15,738",Nature Reviews Neurology,42.937
32,"9,725",Nature Catalysis,41.813
33,"320,407",CELL,41.582
34,"72,804",LANCET ONCOLOGY,41.316
35,"17,275",Joule,41.248
36,"3,407",Living Reviews in Relativity,40.429
37,"158,747",BMJ-British Medical Journal,39.890
38,"21,332",PROGRESS IN MATERIALS SCIENCE,39.580
39,"27,030",Cancer Discovery,39.397
40,"75,845",Nature Nanotechnology,39.213
41,"52,833",Nature Photonics,38.771
42,"101,688",Energy & Environmental Science,38.532
43,"113,066",NATURE GENETICS,38.330
44,"2,337",Psychological Science in the Public Interest,37.857
45,"35,633",PHYSIOLOGICAL REVIEWS,37.312
46,"8,652","MATERIALS SCIENCE & ENGINEERING R-
REPORTS",36.214
47,"49,897",NATURE REVIEWS NEUROSCIENCE,34.870
48,"5,750",Nature Reviews Chemistry,34.035
49,"4,455",Nature Electronics,33.686
50,"61,542",ANNALS OF ONCOLOGY,32.976
51,"11,539",Nature Reviews Cardiology,32.419
52,"14,024",Lancet Diabetes & Endocrinology,32.069
53,"22,382",JAMA Oncology,31.777
54,"70,517",IMMUNITY,31.745
55,"50,839",CANCER CELL,31.743
56,"1,697",Nature Reviews Physics,31.068
57,"20,082",Materials Today,31.041
58,"320,972",ADVANCED MATERIALS,30.849
59,"22,278",Lancet Respiratory Medicine,30.700
60,"13,229",Annual Review of Astronomy and Astrophysics,30.065
61,"81,447",EUROPEAN HEART JOURNAL,29.983
62,"190,210",CIRCULATION,29.690
63,"14,154","PROGRESS IN ENERGY AND COMBUSTION
SCIENCE",29.394
64,"93,801",Advanced Energy Materials,29.368
65,"30,309",PROGRESS IN POLYMER SCIENCE,29.190
66,"1,341",Electrochemical Energy Reviews,28.905
67,"52,554",NATURE CELL BIOLOGY,28.824
68,"90,805",NATURE METHODS,28.547
69,"20,292",Annual Review of Immunology,28.527
70,"10,033",Nature Reviews Nephrology,28.314
71,"24,931",Molecular Cancer,27.401
72,"52,192",Cell Metabolism,27.287
73,"14,839",Lancet Psychiatry,27.083
73,"14,839",Lancet Psychiatry,27.083
75,"16,662",Lancet Global Health,26.763
75,"16,662",Lancet Global Health,26.763
77,"24,641",Annual Review of Plant Biology,26.379
78,"25,627",CLINICAL MICROBIOLOGY REVIEWS,26.132
79,"8,485",Journal of Extracellular Vesicles,25.841
80,"6,476",Nature Biomedical Engineering,25.671
81,"24,108",CELL RESEARCH,25.617
82,"54,588",NATURE IMMUNOLOGY,25.606
83,"32,130","PHYSICS REPORTS-REVIEW SECTION OF
PHYSICS LETTERS",25.600
84,"14,442",PHARMACOLOGICAL REVIEWS,25.468
85,"1,460",InfoMat,25.405
86,"72,588",ANNALS OF INTERNAL MEDICINE,25.391
87,"6,300",ADVANCES IN PHYSICS,25.375
88,"2,048",ASTRONOMY AND ASTROPHYSICS REVIEW,25.357
89,"36,321",Nature Climate Change,25.290
89,"36,321",Nature Climate Change,25.290
91,"22,146",IEEE Communications Surveys and Tutorials,25.249
92,"7,883","Wiley Interdisciplinary Reviews-Computational
Molecular Science",25.113
93,"52,238",JOURNAL OF HEPATOLOGY,25.083
94,"42,483",LANCET INFECTIOUS DISEASES,25.071
95,"73,709",NATURE NEUROSCIENCE,24.884
96,"32,147",Cell Stem Cell,24.633
97,"1,260",Lancet Digital Health,24.519
98,"41,139",Nature Chemistry,24.427
99,"28,065",Annual Review of Psychology,24.137
99,"28,065",Annual Review of Psychology,24.137
101,"125,873","JOURNAL OF THE AMERICAN COLLEGE OF
CARDIOLOGY",24.094
102,"1,919",Trends in Chemistry,24.081
103,"4,176",Science Robotics,23.748
104,"24,394",Annual Review of Biochemistry,23.643
105,"6,874",Annual Review of Pathology-Mechanisms of Disease,23.472
106,"30,194",ACS Energy Letters,23.101
107,"58,318",GUT,23.059
108,"12,491",Chem,22.804
109,"94,870",GASTROENTEROLOGY,22.682
110,"82,124",ACCOUNTS OF CHEMICAL RESEARCH,22.384
111,"43,025",COORDINATION CHEMISTRY REVIEWS,22.315
112,"200,027",BLOOD,22.113
113,"14,864",REVIEWS OF GEOPHYSICS,22.000
114,"9,927",Annual Review of Public Health,21.981
114,"9,927",Annual Review of Public Health,21.981
116,"25,002",JAMA Internal Medicine,21.873
