name,score,issn
eLight,27.2,2662-8643
Living Reviews in Relativity,26.3,1433-8351
Living Reviews in Solar Physics,23.0,1614-4961
Computational Visual Media,17.3,2096-0662
Military Medical Research,16.7,2054-9369
International Journal of Extreme Manufacturing,16.1,2631-7990
Energy Material Advances,14.9,2692-7640
Biofuel Research Journal-BRJ,14.4,2292-8782
ACS Central Science,13.1,2374-7951
Journal of Ocean Engineering and Science,13.0,2468-0133
Nano Materials Science,12.6,2589-9651
Applied Computing and Informatics,12.3,2210-8327
Materials Futures,12.0,2752-5724
Asian Journal of Pharmaceutical Sciences,10.7,1818-0876
Green Energy & Environment,10.7,2468-0257
ENVIRONMENTAL HEALTH PERSPECTIVES,10.1,1552-9924
Facta Universitatis-Series Mechanical Engineering,10.1,2335-0164
Eurosurveillance,10.0,1560-7917
Molecular Horticulture,10.0,2730-9401
Advanced Industrial and Engineering Polymer Research,9.9,2542-5048
Journal of Physiotherapy,9.7,1836-9561
Journal of Sport and Health Science,9.7,2213-2961
CCS Chemistry,9.4,2096-5745
Journal of Rock Mechanics and Geotechnical Engineering,9.4,2589-0417
Journal of Educational Evaluation for Health Professions,9.3,1975-5937
JOURNAL OF BIOMEDICAL SCIENCE,9.0,1423-0127
Satellite Navigation,9.0,2662-1363
Journal of Remote Sensing,8.8,2694-1589
BULLETIN OF THE WORLD HEALTH ORGANIZATION,8.4,1564-0604
Underground Space,8.2,2467-9674
Information Processing in Agriculture,7.7,2214-3173
Chemical Science,7.6,2041-6539
European Journal of Psychology Applied to Legal Context,7.6,1989-4007
Digital Communications and Networks,7.5,2352-8648
EMERGING INFECTIOUS DISEASES,7.2,1080-6059
Petroleum Exploration and Development,7.2,1876-3804
Financial Innovation,6.9,2199-4730
International Journal of Coal Science & Technology,6.9,2198-7823
CSEE Journal of Power and Energy Systems,6.9,2096-0042
Borsa Istanbul Review,6.3,2214-8469
JOURNAL OF CLINICAL MICROBIOLOGY,6.1,1098-660X
Petroleum Science,6.0,1995-8226
Journal of Stroke,6.0,2287-6405
Journal of Tourism Futures,5.8,2055-592X
Journal of Modern Power Systems and Clean Energy,5.7,2196-5420
Japanese Dental Science Review,5.7,2213-6851
Rice Science,5.6,1876-4762
Green Finance,5.5,2643-1092
Journal of Computer-Mediated Communication,5.4,1083-6101
Journal of Management Science and Engineering,5.4,2589-5532
Journal of Statistical Software,5.4,1548-7660
ASTRONOMY & ASTROPHYSICS,5.4,1432-0746
Data Science and Engineering,5.1,2364-1541
JOURNAL OF HIGH ENERGY PHYSICS,5.0,1029-8479
Defence Technology,5.0,2214-9147
Photonic Sensors,5.0,2190-7439
Bayesian Analysis,4.9,1936-0975
Matter and Radiation at Extremes,4.8,2468-080X
Natural Products and Bioprospecting,4.8,2192-2209
Journal of Obesity & Metabolic Syndrome,4.7,2508-7576
EDUCATIONAL TECHNOLOGY & SOCIETY,4.6,1436-4522
SciPost Physics,4.6,2542-4653
Chinese Journal of Mechanical Engineering,4.6,2192-8258
Plant Diversity,4.6,2468-2659
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,4.5,1943-5037
Preventing Chronic Disease,4.4,1545-1151
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,4.4,1349-2896
World Journal of Traditional Chinese Medicine,4.3,2589-2894
Regional Sustainability,4.3,2666-660X
Journal of Teaching and Learning,4.3,1911-8279
PHYSICS LETTERS B,4.3,1873-2445
European Journal of Management and Business Economics,4.2,2444-8494
Natural Gas Industry B,4.2,2352-8559
Korean Journal of Anesthesiology,4.2,2005-7563
EUROPEAN PHYSICAL JOURNAL C,4.2,1434-6052
International Journal of Innovation Studies,4.2,2589-2975
Transactions of the Association for Computational Linguistics,4.2,2307-387X
Avicenna,4.1,2220-2749
Frontiers of Optoelectronics,4.1,2095-2767
Perspectives in Ecology and Conservation,4.1,2530-0644
Knee Surgery & Related Research,4.1,2234-2451
Space: Science & Technology,4.0,2692-7659
Food Production Processing and Nutrition,4.0,2661-8974
Cell Regeneration,4.0,2045-9769
Cybersecurity,4.0,2523-3246
Journal of Virology,4.0,1098-5514
Campbell Systematic Reviews,4.0,1891-1803
RSF-The Russell Sage Journal of the Social Sciences,3.9,2377-8261
Endocrinology and Metabolism,3.9,2093-5978
Chinese Journal of Population Resources and Environment,3.9,2325-4262
Asia Pacific Journal of Innovation and Entrepreneurship,3.9,2398-7812
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,3.9,1098-5336
Visual Informatics,3.8,2468-502X
EXCLI Journal,3.8,1611-2156
BRQ-Business Research Quarterly,3.8,2340-9444
Biochemia Medica,3.8,1846-7482
Studies in Second Language Learning and Teaching,3.7,2084-1965
Water Science and Engineering,3.7,2405-8106
COMPUTATIONAL LINGUISTICS,3.7,1530-9312
Brazilian Journal of Psychiatry,3.6,1809-452X
Internet Policy Review,3.6,2197-6775
Journal of Information Technology in Construction,3.6,1874-4753
Psychosocial Intervention,3.6,2173-4712
Frontiers of Agricultural Science and Engineering,3.6,2095-977X
LANGUAGE LEARNING & TECHNOLOGY,3.5,1094-3501
HEALTH TECHNOLOGY ASSESSMENT,3.5,2046-4924
Nanotechnology and Precision Engineering,3.5,2589-5540
Geochemical Perspectives Letters,3.4,2410-3403
ADMET and DMPK,3.4,1848-7718
International Journal of Interactive Multimedia and Artificial Intelligence,3.4,1989-1660
Australian Prescriber,3.4,1839-3942
RIED-Revista Iberoamericana de Educacion a Distancia,3.4,1390-3306
Korean Journal of Pain,3.4,2093-0569
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,3.4,1988-3064
Australasian Journal of Educational Technology,3.3,1449-5554
EFSA Journal,3.3,1831-4732
Energetic Materials Frontiers,3.3,2666-6472
Journal of Asian Business and Economic Studies,3.3,2515-964X
Journal of Traditional and Complementary Medicine,3.3,2225-4110
Quantitative Finance and Economics,3.2,2573-0134
Journal of Humanitarian Logistics and Supply Chain Management,3.2,2042-6755
Phytopathology Research,3.2,2524-4167
National Accounting Review,3.2,2689-3010
Visual Computing for Industry Biomedicine and Art,3.2,2524-4442
Animal Frontiers,3.2,2160-6064
Global Media and China,3.2,2059-4372
International Braz J Urol,3.1,1677-6119
Advanced Pharmaceutical Bulletin,3.1,2251-7308
Environment and Society-Advances in Research,3.1,2150-6787
Journal of Mass Spectrometry and Advances in the Clinical Lab,3.1,2667-145X
Journal of Cotton Research,3.1,2523-3254
Research and Practice in Technology Enhanced Learning,3.1,1793-7078
Journal of Legal Analysis,3.0,1946-5319
Educacion XX1,3.0,2174-5374
Journal of Clinical Neurology,3.0,2005-5013
ANGLE ORTHODONTIST,3.0,1945-7103
Jornal Brasileiro de Pneumologia,2.9,1806-3756
Indian Journal of Anaesthesia,2.9,0976-2817
European Journal of Tourism Research,2.9,1314-0817
International Journal of Disaster Risk Science,2.9,2192-6395
MEDICAL PRINCIPLES AND PRACTICE,2.9,1423-0151
Journal of Electrochemical Science and Engineering,2.9,1847-9286
Clean Energy,2.9,2515-396X
JFR-Journal of Family Research,2.9,2699-2337
Kidney Research and Clinical Practice,2.9,2211-9140
INFECTION AND IMMUNITY,2.9,1098-5522
Future Business Journal,2.9,2314-7210
Advances in Aerodynamics,2.9,2524-6992
Journal of Pacific Rim Psychology,2.8,1834-4909
INTERNATIONAL LABOUR REVIEW,2.8,1564-913X
Infection and Chemotherapy,2.8,2092-6448
Geodesy and Geodynamics,2.8,1674-9847
Journal of Taibah University for Science,2.8,1658-3655
Online Learning,2.8,2472-5730
Integrative Medicine Research,2.8,2213-4239
Annals of Pediatric Endocrinology & Metabolism,2.8,2287-1292
Journal of Applied and Computational Mechanics,2.8,2383-4536
Australasian Journal of Information Systems,2.7,1326-2238
JOURNAL OF BACTERIOLOGY,2.7,1098-5530
ECNU Review of Education,2.7,2632-1742
Journal of Interactive Media in Education,2.7,1365-893X
Laboratory Animal Research,2.7,2233-7660
Express Polymer Letters,2.7,1788-618X
Hellenic Journal of Cardiology,2.7,2241-5955
Clinical Hypertension,2.6,2056-5909
Computational Urban Science,2.6,2730-6852
Nuclear Engineering and Technology,2.6,1738-5733
YALE JOURNAL OF BIOLOGY AND MEDICINE,2.6,1551-4056
Family Medicine and Community Health,2.6,2009-8774
Nonlinear Analysis-Modelling and Control,2.6,2335-8963
OCEANOLOGIA,2.6,2300-7370
Entrepreneurial Business and Economics Review,2.6,2353-8821
Folia Geographica,2.6,2454-1001
Amfiteatru Economic,2.6,2247-9104
ANAIS BRASILEIROS DE DERMATOLOGIA,2.6,1806-4841
SciPost Physics Core,2.6,2666-9366
Tourism & Management Studies,2.6,2182-8466
KONA Powder and Particle Journal,2.6,2187-5537
Beilstein Journal of Nanotechnology,2.6,2190-4286
Large-Scale Assessments in Education,2.6,2196-0739
International Journal of Telerehabilitation,2.5,1945-2020
Magnetic Resonance in Medical Sciences,2.5,1880-2206
Investigative and Clinical Urology,2.5,2466-054X
Journal of Southern Hemisphere Earth Systems Science,2.5,2206-5865
Journal of Movement Disorders,2.5,2093-4939
International Review of Research in Open and Distributed Learning,2.5,1492-3831
NUCLEAR PHYSICS B,2.5,1873-1562
MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.5,1678-8060
Dermatology Practical & Conceptual,2.5,2160-9381
Osteoporosis and Sarcopenia,2.5,2405-5263
Global Health-Science and Practice,2.5,2169-575X
Knowledge Management & E-Learning-An International Journal,2.5,2073-7904
Applied Economic Analysis,2.5,2632-7627
Journal of Law and the Biosciences,2.5,2053-9711
Health Promotion Perspectives,2.4,2228-6497
Ultrasonography,2.4,2288-5943
Journal of Current Southeast Asian Affairs,2.4,1868-4882
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,2.4,1965-0175
Journal of Mining Institute,2.4,2541-9404
Asian Journal of Urology,2.4,2214-3890
SALUD PUBLICA DE MEXICO,2.4,1606-7916
Journal of Internet Services and Applications,2.4,1869-0238
International Journal of Industrial Engineering and Management,2.4,2683-345X
Journal of Work and Organizational Psychology-Revista de Psicologia del Trabajo y de las Organizaciones,2.4,2174-0534
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,2.4,1802-7962
EUROPEAN SOCIETIES,2.3,1469-8307
Asian Spine Journal,2.3,1976-7846
Dermatologica Sinica,2.3,2223-330X
Brain Circulation,2.3,2455-4626
Pediatrics and Neonatology,2.3,2212-1692
REICE-Revista Iberoamericana sobre Calidad Eficacia y Cambio en Educacion,2.3,1696-4713
Clinica y Salud,2.3,2174-0550
Journal of Economics Finance and Administrative Science,2.3,2218-0648
Sports Medicine and Health Science,2.3,2666-3376
WEB ECOLOGY,2.3,1399-1183
Journal of Entrepreneurship Management and Innovation,2.3,2299-7326
Journal of Hydrology and Hydromechanics,2.3,1338-4333
FOOD TECHNOLOGY AND BIOTECHNOLOGY,2.3,1334-2606
BioImpacts,2.2,2228-5660
Journal of Applied Oral Science,2.2,1678-7765
Beilstein Journal of Organic Chemistry,2.2,1860-5397
Nordic Journal of Digital Literacy,2.2,1891-943X
Journal of Rheumatic Diseases,2.2,2233-4718
Health Psychology Report,2.2,2353-5571
OENO One,2.2,2494-1271
Journal of Psychedelic Studies,2.2,2559-9283
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,2.2,2368-738X
BJPsych Bulletin,2.2,2056-4708
Nonprofit Policy Forum,2.2,2154-3348
Acta Montanistica Slovaca,2.2,1335-1788
IJISPM-International Journal of Information Systems and Project Management,2.2,2182-7788
SWISS MEDICAL WEEKLY,2.1,1424-3997
European Journal of Transport and Infrastructure Research,2.1,1567-7141
Geodesy and Cartography,2.1,2300-2581
BJPsych International,2.1,2058-6264
Archives of Physiotherapy,2.1,2057-0082
Clinical and Experimental Vaccine Research,2.1,2287-366X
Osong Public Health and Research Perspectives,2.1,2233-6052
Journal of Advanced Dielectrics,2.1,2010-1368
Journal of the Egyptian National Cancer Institute,2.1,2589-0409
BioMedicine-Taiwan,2.1,2211-8039
INDIAN JOURNAL OF OPHTHALMOLOGY,2.1,1998-3689
Informatics in Education,2.1,2335-8971
RIE-Revista de Investigacion Educativa,2.1,1989-9106
Demographic Research,2.1,1435-9871
Strategic Management,2.0,2334-6191
Obstetrics & Gynecology Science,2.0,2287-8580
Rural and Remote Health,2.0,1445-6354
Nordicom Review,2.0,2001-5119
JCOM-Journal of Science Communication,2.0,1824-2049
COMPTES RENDUS GEOSCIENCE,2.0,1778-7025
NEFROLOGIA,2.0,1989-2284
Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,2.0,1614-2241
